speaker,start,end,duration,text
DF,00:00:03.312,00:00:04.022,00:00:00.710,REP
Participant,00:00:03.337,00:00:05.331,00:00:01.994,wi- with what can you help me with
DF,00:00:10.310,00:00:11.150,00:00:00.840,REP
Participant,00:00:10.316,00:00:15.409,00:00:05.093,what are what are my options what eh what what do you what can you help me with
DF,00:00:12.325,00:00:12.710,00:00:00.385,FP
DF,00:00:12.710,00:00:14.530,00:00:01.820,SUB
Participant,00:00:23.041,00:00:25.313,00:00:02.272,yeah for sure let's start with resumes
DF,00:00:36.630,00:00:36.930,00:00:00.300,FP
DF,00:00:45.400,00:00:46.050,00:00:00.650,FP
Participant,00:00:45.402,00:00:52.468,00:00:07.066,ehm i've worked in two jobs so far ehm both as a working student in software engineering 
DF,00:00:48.481,00:00:48.910,00:00:00.429,FP
DF,00:00:57.640,00:00:57.830,00:00:00.190,FP
Participant,00:00:57.641,00:01:04.921,00:00:07.280, eh i wor- i've worked in two jobs so far eh both were as a working student in software engineering
DF,00:00:57.840,00:00:58.780,00:00:00.940,SUB
DF,00:01:01.181,00:01:01.550,00:00:00.369,FP
DF,00:01:10.630,00:01:11.812,00:00:01.182,REP
DF,00:01:18.572,00:01:19.620,00:00:01.048,REP
Participant,00:01:29.285,00:01:34.453,00:00:05.168,no i've i i have a bechelors degree you misunderstood me eh sorry 
DF,00:01:29.755,00:01:31.163,00:00:01.408,SUB
Participant,00:01:41.244,00:01:45.137,00:00:03.893,ehm i don't know i mean what advice can you offer
DF,00:01:41.257,00:01:42.150,00:00:00.893,FP
Participant,00:01:50.717,00:01:58.030,00:00:07.313,ehm what what what tips do you have for writing a cv what are my options
DF,00:01:50.854,00:01:51.497,00:00:00.643,FP
DF,00:01:51.901,00:01:53.183,00:00:01.282,REP
DF,00:01:55.999,00:01:56.990,00:00:00.991,UP
Participant,00:02:29.133,00:02:30.797,00:00:01.664,cv structure
Participant,00:03:05.879,00:03:06.551,00:00:00.672,no
Participant,00:03:10.054,00:03:12.525,00:00:02.471,yeah let's talk about job interviews now
Participant,00:03:24.544,00:03:26.760,00:00:02.216,yeah then let's talk about preparation
Participant,00:03:31.676,00:03:33.004,00:00:01.328,preparation
Participant,00:03:39.541,00:03:52.400,00:00:12.859,i don't know i research the job and then i have a look at the at the company to have some information about that beforehand and yeah otherwise i don't know i just present myself
DF,00:03:43.450,00:03:44.510,00:00:01.060,REP
Participant,00:04:11.491,00:04:14.204,00:00:02.713,yeah then let's talk about technical skills
Participant,00:04:21.031,00:04:22.360,00:00:01.329,technical test
Participant,00:04:28.327,00:04:29.851,00:00:01.524,technical test
DF,00:04:36.960,00:04:37.280,00:00:00.320,FP
DF,00:04:38.500,00:04:38.880,00:00:00.380,FP
DF,00:04:44.390,00:04:44.800,00:00:00.410,FP
DF,00:04:48.310,00:04:48.710,00:00:00.400,FP
Participant,00:05:14.011,00:05:16.189,00:00:02.178,what are my options again
Participant,00:05:23.540,00:05:26.764,00:00:03.224,yeah then let's talk about the interview questions
Participant,00:05:30.399,00:05:32.221,00:00:01.822,interview questions
Participant,00:05:37.193,00:05:39.994,00:00:02.801,i don't know usually i'm not the one who asks
Participant,00:06:00.168,00:06:00.930,00:00:00.762,no
Participant,00:06:07.164,00:06:08.319,00:00:01.155,no thank you
