speaker,start,end,duration,text
DF,00:01:17.477,00:01:19.042,00:00:01.565,FP
Participant,00:01:17.477,00:01:24.577,00:00:07.100,ehm eh yes how can i react when i'm nervous
DF,00:01:53.313,00:01:53.462,00:00:00.149,FP
Participant,00:01:53.313,00:01:57.800,00:00:04.487,eh yes i can what are my options
DF,00:02:10.487,00:02:10.750,00:00:00.263,FP
Participant,00:02:10.487,00:02:13.930,00:00:03.443,eh what technical test you are talking about
DF,00:02:18.003,00:02:18.477,00:00:00.474,FP
Participant,00:02:18.003,00:02:20.676,00:00:02.673,eh what are my options
DF,00:02:31.916,00:02:43.379,00:00:11.463,CD
Participant,00:02:31.916,00:02:43.379,00:00:11.463,how does a technical question how does th- this te- eh technical int- the technical interview how does it look like
