Participant No,speaker,start,end,duration,text
2,Furhat,00:00:00.000,00:00:01.310,00:00:01.310,greeting
2,Silence,00:00:01.310,00:00:06.639,00:00:05.329,silence
2,Furhat,00:00:06.639,00:00:07.647,00:00:01.008,no voice recognized 1st
2,Silence,00:00:07.647,00:00:09.821,00:00:02.174,silence
2,Participant,00:00:09.821,00:00:10.753,00:00:00.932,hello
2,Silence,00:00:10.753,00:00:12.037,00:00:01.284,silence
2,Furhat,00:00:12.037,00:00:14.610,00:00:02.573,no match 1st
2,Silence,00:00:14.610,00:00:14.827,00:00:00.217,silence
2,Participant,00:00:14.827,00:00:16.201,00:00:01.374,what are my options
2,Silence,00:00:16.201,00:00:23.403,00:00:07.202,silence
2,Participant,00:00:23.403,00:00:24.774,00:00:01.371,what are my options
2,Silence,00:00:24.774,00:00:26.372,00:00:01.598,silence
2,Furhat,00:00:26.372,00:00:31.613,00:00:05.241,give options
2,Silence,00:00:31.613,00:00:32.000,00:00:00.387,silence
2,Participant,00:00:32.000,00:00:34.180,00:00:02.180,I would like to talk about interviews
2,Silence,00:00:34.180,00:00:35.518,00:00:01.338,silence
2,Furhat,00:00:35.518,00:00:46.589,00:00:11.071,ask for advice need
2,Silence,00:00:46.589,00:00:47.120,00:00:00.531,silence
2,DF,00:00:47.120,00:00:47.680,00:00:00.560,FP
2,Participant,00:00:47.120,00:00:48.920,00:00:01.800,mh interview questions
2,Silence,00:00:48.920,00:00:50.327,00:00:01.407,silence
2,Furhat,00:00:50.327,00:00:51.538,00:00:01.211,CR
2,Silence,00:00:51.538,00:00:52.006,00:00:00.468,silence
2,Participant,00:00:52.006,00:00:53.453,00:00:01.447,interview questions
2,Silence,00:00:53.453,00:00:54.760,00:00:01.307,silence
2,Furhat,00:00:54.760,00:00:59.530,00:00:04.770,ask open question
2,Silence,00:00:59.530,00:01:00.117,00:00:00.587,silence
2,Participant,00:01:00.117,00:01:00.712,00:00:00.595,yes
2,Silence,00:01:00.712,00:01:02.100,00:00:01.388,silence
2,Furhat,00:01:02.100,00:01:18.840,00:00:16.740,give advice
2,Silence,00:01:18.840,00:01:19.830,00:00:00.990,silence
2,Participant,00:01:19.830,00:01:20.467,00:00:00.637,yes
2,Silence,00:01:20.467,00:01:21.735,00:00:01.268,silence
2,Furhat,00:01:21.735,00:01:24.321,00:00:02.586,no match 1st
2,Silence,00:01:24.321,00:01:24.620,00:00:00.299,silence
2,Participant,00:01:24.620,00:01:26.896,00:00:02.276,yes technical skills
2,Silence,00:01:26.896,00:01:28.475,00:00:01.579,silence
2,Furhat,00:01:28.475,00:01:31.550,00:00:03.075,no match 2nd
2,Overlap,00:01:30.696,00:01:31.170,00:00:00.474,overlap
2,Participant,00:01:30.696,00:01:31.170,00:00:00.474,wha-
