speaker,start,end,duration,text
Furhat,0 days 00:00:00,0 days 00:00:01.310000,0 days 00:00:01.310000,greeting
Furhat,0 days 00:00:06.639000,0 days 00:00:07.647000,0 days 00:00:01.008000,no voice recognized 1st
Participant,0 days 00:00:09.821000,0 days 00:00:10.753000,0 days 00:00:00.932000,hello
Furhat,0 days 00:00:12.037000,0 days 00:00:14.610000,0 days 00:00:02.573000,no match 1st
Participant,0 days 00:00:14.827000,0 days 00:00:16.201000,0 days 00:00:01.374000,what are my options
Participant,0 days 00:00:23.403000,0 days 00:00:24.774000,0 days 00:00:01.371000,what are my options
Furhat,0 days 00:00:26.372000,0 days 00:00:31.613000,0 days 00:00:05.241000,give options
Participant,0 days 00:00:32,0 days 00:00:34.180000,0 days 00:00:02.180000,I would like to talk about interviews
Furhat,0 days 00:00:35.518000,0 days 00:00:46.589000,0 days 00:00:11.071000,ask for advice need
Participant,0 days 00:00:47.120000,0 days 00:00:48.920000,0 days 00:00:01.800000,mh interview questions
DF,0 days 00:00:47.120000,0 days 00:00:47.680000,0 days 00:00:00.560000,FP
Furhat,0 days 00:00:50.327000,0 days 00:00:51.538000,0 days 00:00:01.211000,CR
Participant,0 days 00:00:52.006000,0 days 00:00:53.453000,0 days 00:00:01.447000,interview questions
Furhat,0 days 00:00:54.760000,0 days 00:00:59.530000,0 days 00:00:04.770000,ask open question
Participant,0 days 00:01:00.117000,0 days 00:01:00.712000,0 days 00:00:00.595000,yes
Furhat,0 days 00:01:02.100000,0 days 00:01:18.840000,0 days 00:00:16.740000,give advice
Participant,0 days 00:01:19.830000,0 days 00:01:20.467000,0 days 00:00:00.637000,yes
Furhat,0 days 00:01:21.735000,0 days 00:01:24.321000,0 days 00:00:02.586000,no match 1st
Participant,0 days 00:01:24.620000,0 days 00:01:26.896000,0 days 00:00:02.276000,yes technical skills
Furhat,0 days 00:01:28.475000,0 days 00:01:31.550000,0 days 00:00:03.075000,no match 2nd
Participant,0 days 00:01:30.696000,0 days 00:01:31.170000,0 days 00:00:00.474000,wha-
Participant,0 days 00:01:32.200000,0 days 00:01:33.906000,0 days 00:00:01.706000,yes what are my options
Furhat,0 days 00:01:35.321000,0 days 00:01:36.130000,0 days 00:00:00.809000,CR
Participant,0 days 00:01:36.741000,0 days 00:01:38.156000,0 days 00:00:01.415000,what are my options
Furhat,0 days 00:01:39.591000,0 days 00:01:46.813000,0 days 00:00:07.222000,give options
Participant,0 days 00:01:47.257000,0 days 00:01:48.440000,0 days 00:00:01.183000,technical test
Furhat,0 days 00:01:49.706000,0 days 00:01:54.084000,0 days 00:00:04.378000,no match 3rd
Participant,0 days 00:01:50.923000,0 days 00:01:51.609000,0 days 00:00:00.686000,i would like-
Participant,0 days 00:01:51.987000,0 days 00:01:52.764000,0 days 00:00:00.777000,i would like t-
Participant,0 days 00:01:55.500000,0 days 00:01:58.775000,0 days 00:00:03.275000,yes I would like to know about technical test
Furhat,0 days 00:02:01.505000,0 days 00:02:04.993000,0 days 00:00:03.488000,ask open question
Participant,0 days 00:02:09.301000,0 days 00:02:10.082000,0 days 00:00:00.781000,a lot
Furhat,0 days 00:02:10.862000,0 days 00:02:34.908000,0 days 00:00:24.046000,give advice
Participant,0 days 00:02:12.254000,0 days 00:02:12.758000,0 days 00:00:00.504000,oh
Participant,0 days 00:02:34.964000,0 days 00:02:35.550000,0 days 00:00:00.586000,no
Furhat,0 days 00:02:37.156000,0 days 00:02:41.904000,0 days 00:00:04.748000,ask if topic change
Participant,0 days 00:02:43.590000,0 days 00:02:44.430000,0 days 00:00:00.840000,n- yes
DF,0 days 00:02:43.590000,0 days 00:02:44.430000,0 days 00:00:00.840000,SUB
Furhat,0 days 00:02:47.169000,0 days 00:02:48.306000,0 days 00:00:01.137000,no voice recognized 1st
Participant,0 days 00:02:48.725000,0 days 00:02:50.260000,0 days 00:00:01.535000,yes what are my options
Furhat,0 days 00:02:51.488000,0 days 00:02:54.160000,0 days 00:00:02.672000,no match 1st
Participant,0 days 00:02:53.506000,0 days 00:02:54.103000,0 days 00:00:00.597000,what
Participant,0 days 00:02:54.357000,0 days 00:02:55.491000,0 days 00:00:01.134000,what are my options
Furhat,0 days 00:02:59.744000,0 days 00:03:02.250000,0 days 00:00:02.506000,no voice recognizes 2nd
Participant,0 days 00:03:02.871000,0 days 00:03:05.019000,0 days 00:00:02.148000,can you give me the options i have
Furhat,0 days 00:03:06.293000,0 days 00:03:09.522000,0 days 00:00:03.229000,no match 2nd
Participant,0 days 00:03:11.290000,0 days 00:03:12.899000,0 days 00:00:01.609000,can you give me the options
Furhat,0 days 00:03:14.528000,0 days 00:03:19.010000,0 days 00:00:04.482000,no match 3rd
DF,0 days 00:03:20.230000,0 days 00:03:20.603000,0 days 00:00:00.373000,FP
Participant,0 days 00:03:20.233000,0 days 00:03:22.854000,0 days 00:00:02.621000,mh yes I would like to know my options
Furhat,0 days 00:03:24.833000,0 days 00:03:27.053000,0 days 00:00:02.220000,ask for topic
Participant,0 days 00:03:29.403000,0 days 00:03:30.200000,0 days 00:00:00.797000,cv
Participant,0 days 00:03:37.677000,0 days 00:03:39.072000,0 days 00:00:01.395000,ah resume resume
Furhat,0 days 00:03:40.685000,0 days 00:03:45.421000,0 days 00:00:04.736000,ask education
Participant,0 days 00:03:45.829000,0 days 00:03:46.708000,0 days 00:00:00.879000,bachelor
Furhat,0 days 00:03:48.303000,0 days 00:03:49.910000,0 days 00:00:01.607000,CR
Participant,0 days 00:03:50.283000,0 days 00:03:51.658000,0 days 00:00:01.375000,i have a bachelor
Furhat,0 days 00:03:52.889000,0 days 00:03:55.999000,0 days 00:00:03.110000,ask positions
DF,0 days 00:03:56.670000,0 days 00:03:57.164000,0 days 00:00:00.494000,FP
Participant,0 days 00:03:56.670000,0 days 00:03:57.933000,0 days 00:00:01.263000,ah five
Participant,0 days 00:04:02.645000,0 days 00:04:03.209000,0 days 00:00:00.564000,five
Participant,0 days 00:04:07.768000,0 days 00:04:09.094000,0 days 00:00:01.326000,five positions
Participant,0 days 00:04:13.424000,0 days 00:04:15.157000,0 days 00:00:01.733000,i had five positions
Furhat,0 days 00:04:16.733000,0 days 00:04:18.981000,0 days 00:00:02.248000,ask experience
Participant,0 days 00:04:19.894000,0 days 00:04:21.669000,0 days 00:00:01.775000,twenty years
DF,0 days 00:04:20.500000,0 days 00:04:20.990000,0 days 00:00:00.490000,UP
Furhat,0 days 00:04:23.660000,0 days 00:04:30.783000,0 days 00:00:07.123000,ask open question
Participant,0 days 00:04:31.786000,0 days 00:04:32.700000,0 days 00:00:00.914000,cannot write
Furhat,0 days 00:04:34.201000,0 days 00:04:38.045000,0 days 00:00:03.844000,ask for advice need
Participant,0 days 00:04:38.886000,0 days 00:04:39.750000,0 days 00:00:00.864000,how to write
Furhat,0 days 00:04:41.328000,0 days 00:04:43.969000,0 days 00:00:02.641000,no match 1st
Participant,0 days 00:04:45.385000,0 days 00:04:46.710000,0 days 00:00:01.325000,how to write
Furhat,0 days 00:04:48.140000,0 days 00:04:51.315000,0 days 00:00:03.175000,no match 2nd
DF,0 days 00:04:51.370000,0 days 00:04:51.850000,0 days 00:00:00.480000,FP
Participant,0 days 00:04:51.370000,0 days 00:04:55.652000,0 days 00:00:04.282000,mh can i ask him about how are what are my options
DF,0 days 00:04:53.810000,0 days 00:04:54.700000,0 days 00:00:00.890000,SUB
Furhat,0 days 00:04:57.164000,0 days 00:05:06.725000,0 days 00:00:09.561000,give options
Participant,0 days 00:05:07.400000,0 days 00:05:12.290000,0 days 00:00:04.890000,i would like to know how to ehm write the content
DF,0 days 00:05:09.403000,0 days 00:05:10.490000,0 days 00:00:01.087000,UP
DF,0 days 00:05:10.490000,0 days 00:05:11.050000,0 days 00:00:00.560000,FP
Furhat,0 days 00:05:10.993000,0 days 00:05:16.670000,0 days 00:00:05.677000,no match 3rd
Participant,0 days 00:05:16.913000,0 days 00:05:20.638000,0 days 00:00:03.725000,i want to know about about the content of my resume
DF,0 days 00:05:17.460000,0 days 00:05:19.060000,0 days 00:00:01.600000,REP
Furhat,0 days 00:05:22.286000,0 days 00:05:28.320000,0 days 00:00:06.034000,ask education
Participant,0 days 00:05:30.906000,0 days 00:05:31.805000,0 days 00:00:00.899000,bachelor
Furhat,0 days 00:05:33.275000,0 days 00:05:40.627000,0 days 00:00:07.352000,ask open question
Participant,0 days 00:05:42.853000,0 days 00:05:44.020000,0 days 00:00:01.167000,what are my options
Furhat,0 days 00:05:45.612000,0 days 00:05:49.551000,0 days 00:00:03.939000,ask advice needs
Participant,0 days 00:05:50.963000,0 days 00:05:52.358000,0 days 00:00:01.395000,what are my options
Furhat,0 days 00:05:53.161000,0 days 00:06:03.170000,0 days 00:00:10.009000,give options
DF,0 days 00:06:03.563000,0 days 00:06:03.890000,0 days 00:00:00.327000,FP
Participant,0 days 00:06:03.580000,0 days 00:06:05.472000,0 days 00:00:01.892000,mh about cv structure
Furhat,0 days 00:06:08.573000,0 days 00:06:09.642000,0 days 00:00:01.069000,no voice recognized 1st
Participant,0 days 00:06:09.803000,0 days 00:06:11.113000,0 days 00:00:01.310000,cv structure
Furhat,0 days 00:06:15.179000,0 days 00:06:17.641000,0 days 00:00:02.462000,no voice recognized 2nd
DF,0 days 00:06:18.020000,0 days 00:06:18.448000,0 days 00:00:00.428000,FP
Participant,0 days 00:06:18.020000,0 days 00:06:20.497000,0 days 00:00:02.477000,ah yes cv structure
Furhat,0 days 00:06:23.148000,0 days 00:06:28.804000,0 days 00:00:05.656000,no voice recognized 3rd
Participant,0 days 00:06:29.543000,0 days 00:06:32.040000,0 days 00:00:02.497000,i would like to know about cv structure
Furhat,0 days 00:06:33.857000,0 days 00:07:06.957000,0 days 00:00:33.100000,give advice
Participant,0 days 00:07:07.152000,0 days 00:07:08.826000,0 days 00:00:01.674000,no that is all
